transcript_id,ENCLB117FKX,ENCLB129EAK,ENCLB597ZOR,ENCLB925FOQ
FBtr0445831,0,0,14,2
FBtr0304182,0,0,1,0
FBtr0472769,0,0,1,0
FBtr0304183,0,0,1,0
FBtr0078018,0,0,12,0
FBsf0000915757,0,0,1,0
FBsf0000915756,0,0,0,0
FBtr0078033,0,0,0,0
FBsf0000763950,0,0,0,0
FBsf0000766590,0,0,0,0
FBtr0114307,0,0,0,0
FBtr0345634,0,0,1464,1993
FBtr0078023,0,0,0,0
FBsf0000919240,0,0,0,0
FBtr0332181,0,0,374,0
FBtr0343785,3,8,0,26
FBtr0078042,3,0,45,71
FBsf0000767500,1,0,1,1
FBtr0078008,397,354,53,128
FBsf0000918039,1,1,1,1
FBtr0078009,383,295,17,56
FBsf0000917513,1,1,1,1
FBtr0078041,233,236,112,272
FBtr0332974,75,0,0,0
FBsf0000918401,1,1,1,1
FBtr0078010,81,89,7,0
FBtr0332972,45,31,13,75
FBtr0078039,204,197,48,29
FBtr0078011,462,421,123,184
FBsf0000917407,1,1,1,1
FBtr0305507,553,412,1826,1336
FBtr0078012,822,696,175,423
FBtr0301908,620,514,327,114
FBtr0100469,213,329,46,10
FBsf0000916611,1,1,1,1
FBtr0078038,213,172,58,118
FBtr0332973,737,271,47,0
FBtr0078013,1069,964,0,1739
FBsf0000918937,1,1,1,0
FBtr0302612,2487,2177,452,0
FBtr0334763,315,40,518,238
FBsf0000765923,1,1,1,1
FBsf0000765922,1,1,1,1
FBtr0334797,39,8,69,197
FBtr0078034,193,188,78,209
FBsf0000916750,1,1,1,1
FBtr0078016,123,144,145,767
FBtr0334794,259,288,214,360
FBsf0000770176,1,1,1,1
FBsf0000920022,1,1,1,1
FBsf0000919090,1,1,1,1
FBtr0078017,28,4,17,162
FBtr0334796,88,96,238,251
FBtr0334795,33,10,19,183
FBsf0000915755,1,1,1,1
FBtr0445832,3,0,8,30
FBtr0078031,262,269,623,1424
FBtr0078032,3,5,2,0
FBsf0000918801,1,1,1,1
FBsf0000766591,1,1,1,1
FBtr0078030,708,765,190,400
FBsf0000918920,1,1,1,0
FBtr0332000,3634,2526,0,0
FBtr0091487,155,88,0,0
FBtr0091489,16,126,331,318
FBtr0091486,5,0,29,29
FBsf0000918146,1,1,1,1
FBsf0000917887,0,0,0,0
FBtr0345738,0,0,30,126
FBtr0078025,517,0,0,0
FBtr0078028,9,2,3,0
FBtr0336969,3,5,276,772
FBsf0000917657,1,1,1,1
FBtr0305064,0,0,0,0
